"Id","SkuId","Type","Name","Image"
"6778092279516327936","6778092278555832320","颜色",,"https://img11.360buyimg.com/n9/s60x76_jfs/t1/111175/25/11735/214547/5f03037eEe1f84c15/d0370cd4e6837908.jpg!cc_60x76.jpg"
"6778092280497795072","6778092278555832320","尺码",,
"6778092282754330624","6778092281798029312","颜色",,"https://img12.360buyimg.com/n9/s60x76_jfs/t1/127828/15/6315/206977/5f02c8a1E0e513c44/dd66442e30182d65.jpg!cc_60x76.jpg"
"6778092283706437632","6778092281798029312","尺码",,
"6778092285992333312","6778092285010866176","颜色",,"https://img11.360buyimg.com/n9/s60x76_jfs/t1/139190/40/2297/212534/5f02c8b3E895df8ca/eae0c6237241b25d.jpg!cc_60x76.jpg"
"6778092286969606144","6778092285010866176","尺码",,
"6778092289230336000","6778092288269840384","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/147182/21/2237/214949/5f02c8d3E86bb5ce0/4500043b2e2b4cc3.jpg!cc_60x76.jpg"
"6778092290203414528","6778092288269840384","尺码",,
"6778092292602556416","6778092291633672192","颜色",,"https://img14.360buyimg.com/n9/s60x76_jfs/t1/115418/7/11757/211031/5f02c8e8E3e1223c6/95ddf4423694adbe.jpg!cc_60x76.jpg"
"6778092293516914688","6778092291633672192","尺码",,
"6778092295811198976","6778092294867480576","颜色",,"https://img13.360buyimg.com/n9/s60x76_jfs/t1/147833/17/2277/202764/5f02c8feEedc6e852/3377cc6710936df4.jpg!cc_60x76.jpg"
"6778092296712974336","6778092294867480576","尺码",,
"6778092299040813056","6778092298097094656","颜色",,"https://img12.360buyimg.com/n9/s60x76_jfs/t1/112479/25/11741/206914/5f02c90cE49616603/ec4d2f0f7aeb2bde.jpg!cc_60x76.jpg"
"6778092300009697280","6778092298097094656","尺码",,
"6778092302312370176","6778092301339291648","颜色",,"https://img11.360buyimg.com/n9/s60x76_jfs/t1/147047/36/2278/206184/5f02c919Eccb59fc7/e9c8d818798ff6a9.jpg!cc_60x76.jpg"
"6778092303272865792","6778092301339291648","尺码",,
"6778092305541984256","6778092304602460160","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/131660/9/3822/209922/5f02c928Ec65af732/2dba0470d49b5055.jpg!cc_60x76.jpg"
"6778092306544422912","6778092304602460160","尺码",,
"6778092308788375552","6778092307861434368","颜色",,"https://img14.360buyimg.com/n9/s60x76_jfs/t1/132664/16/3762/214128/5f0303a6E43d51b71/2eabc852d4d55ec1.jpg!cc_60x76.jpg"
"6778092309786619904","6778092307861434368","尺码",,
"6778092312097681408","6778092311120408576","颜色",,"https://img13.360buyimg.com/n9/s60x76_jfs/t1/130042/38/3472/206604/5f02c956Ec70d93f2/cfb6da0532d2a092.jpg!cc_60x76.jpg"
"6778092313037205504","6778092311120408576","尺码",,
"6778092315251798016","6778092314299691008","颜色",,"https://img12.360buyimg.com/n9/s60x76_jfs/t1/129213/17/6343/211330/5f02c962E3f89903f/2f947357820a04ae.jpg!cc_60x76.jpg"
"6778092316216487936","6778092314299691008","尺码",,
"6778092318506577920","6778092317546082304","颜色",,"https://img11.360buyimg.com/n9/s60x76_jfs/t1/113604/11/11704/219898/5f02c975E3c1459a1/3bb4cb42cfcdd56b.jpg!cc_60x76.jpg"
"6778092319425130496","6778092317546082304","尺码",,
"6778092321610362880","6778092320729559040","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/122044/34/6343/214766/5f02c981Ed4c03186/9da23a3e227bf819.jpg!cc_60x76.jpg"
"6778092322604412928","6778092320729559040","尺码",,
"6778092324873531392","6778092323908841472","颜色",,"https://img14.360buyimg.com/n9/s60x76_jfs/t1/133547/14/3727/207870/5f02c996E20488f9f/11f3d3b1cdf5d3e1.jpg!cc_60x76.jpg"
"6778092325813055488","6778092323908841472","尺码",,
"6778092328065396736","6778092327113289728","颜色",,"https://img13.360buyimg.com/n9/s60x76_jfs/t1/131210/37/3819/212323/5f02c9a3E84587791/8c82b96191c94323.jpg!cc_60x76.jpg"
"6778092329013309440","6778092327113289728","尺码",,
"6778092331236290560","6778092330305155072","颜色",,"https://img12.360buyimg.com/n9/s60x76_jfs/t1/127146/18/6490/216821/5f02c9e9E1716fc33/2069816b2827f2ae.jpg!cc_60x76.jpg"
"6778092332184203264","6778092330305155072","尺码",,
"6778092334478487552","6778092333526380544","颜色",,"https://img11.360buyimg.com/n9/s60x76_jfs/t1/144917/34/2183/207286/5f02c9f6Ef58a2880/3508c1243f2f720c.jpg!cc_60x76.jpg"
"6778092335451566080","6778092333526380544","尺码",,
"6778092337703907328","6778092336797937664","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/131233/34/3834/217171/5f02ca07E0069d456/e078eecc67caf489.jpg!cc_60x76.jpg"
"6778092338626654208","6778092336797937664","尺码",,
"6778092340925132800","6778092339960442880","颜色",,"https://img14.360buyimg.com/n9/s60x76_jfs/t1/119447/16/10318/211978/5f02ca10E075b8d48/e088a1f2577b17e3.jpg!cc_60x76.jpg"
"6778092341877239808","6778092339960442880","尺码",,
"6778092344167329792","6778092343194251264","颜色",,"https://img13.360buyimg.com/n9/s60x76_jfs/t1/144152/21/1952/207098/5f02ca1eEa8e6fd73/4faf4c96dd382a16.jpg!cc_60x76.jpg"
"6778092345115242496","6778092343194251264","尺码",,
"6778092347396943872","6778092346461614080","颜色",,"https://img12.360buyimg.com/n9/s60x76_jfs/t1/118165/16/11577/211976/5f02ca28E0e69840e/5c679fcc74469516.jpg!cc_60x76.jpg"
"6778092348399382528","6778092346461614080","尺码",,
"6778092350756581376","6778092349783502848","颜色",,"https://img11.360buyimg.com/n9/s60x76_jfs/t1/141084/14/2218/211045/5f02ca31E00bbe918/f713947ceb72d141.jpg!cc_60x76.jpg"
"6778092351738048512","6778092349783502848","尺码",,
"6778092354128801792","6778092353168306176","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/132405/16/3807/213525/5f02ca38E8cfbc93e/30dbbe3b77708fea.jpg!cc_60x76.jpg"
"6778092355080908800","6778092353168306176","尺码",,
"6778092357408747520","6778092356418891776","颜色",,"https://img13.360buyimg.com/n9/s60x76_jfs/t1/111175/25/11735/214547/5f03037eEe1f84c15/d0370cd4e6837908.jpg!cc_60x76.jpg"
"6778092358436352000","6778092356418891776","尺码",,
"6778092360751607808","6778092359765946368","颜色",,"https://img14.360buyimg.com/n9/s60x76_jfs/t1/111175/25/11735/214547/5f03037eEe1f84c15/d0370cd4e6837908.jpg!cc_60x76.jpg"
"6778092361745657856","6778092359765946368","尺码",,
"6778092364056719360","6778092363113000960","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/111175/25/11735/214547/5f03037eEe1f84c15/d0370cd4e6837908.jpg!cc_60x76.jpg"
"6778092365038186496","6778092363113000960","尺码",,
"6778092367345053696","6778092366392946688","颜色",,"https://img11.360buyimg.com/n9/s60x76_jfs/t1/111175/25/11735/214547/5f03037eEe1f84c15/d0370cd4e6837908.jpg!cc_60x76.jpg"
"6778092368360075264","6778092366392946688","尺码",,
"6778092370671136768","6778092369681281024","颜色",,"https://img12.360buyimg.com/n9/s60x76_jfs/t1/111175/25/11735/214547/5f03037eEe1f84c15/d0370cd4e6837908.jpg!cc_60x76.jpg"
"6778092371631632384","6778092369681281024","尺码",,
"6778092373863002112","6778092372936060928","颜色",,"https://img13.360buyimg.com/n9/s60x76_jfs/t1/111175/25/11735/214547/5f03037eEe1f84c15/d0370cd4e6837908.jpg!cc_60x76.jpg"
"6778092374878023680","6778092372936060928","尺码",,
"6778092377138753536","6778092376199229440","颜色",,"https://img14.360buyimg.com/n9/s60x76_jfs/t1/111175/25/11735/214547/5f03037eEe1f84c15/d0370cd4e6837908.jpg!cc_60x76.jpg"
"6778092378107637760","6778092376199229440","尺码",,
"6778092380380950528","6778092379412066304","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/111175/25/11735/214547/5f03037eEe1f84c15/d0370cd4e6837908.jpg!cc_60x76.jpg"
"6778092381316280320","6778092379412066304","尺码",,
"6778092608848883712","6778092607812890624","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/105456/26/18724/210460/5e97be40Ed5430bd7/5e26b46ec79eacce.jpg!cc_60x76.jpg"
"6778092609826156544","6778092607812890624","尺码",,
"6778092612078497792","6778092611105419264","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/108887/40/12428/205248/5e97d02bEc92f2291/c1962ac1de728017.jpg!cc_60x76.jpg"
"6778092613051576320","6778092611105419264","尺码",,
"6778092615350054912","6778092614389559296","颜色",,"https://img14.360buyimg.com/n9/s60x76_jfs/t1/119708/25/8/213356/5e97d121E352532a5/267401099d3244c7.jpg!cc_60x76.jpg"
"6778092616285384704","6778092614389559296","尺码",,
"6778092618571280384","6778092617602396160","颜色",,"https://img13.360buyimg.com/n9/s60x76_jfs/t1/113931/37/1418/215523/5e97d165E3d535b2b/50303bfa95216646.jpg!cc_60x76.jpg"
"6778092619544358912","6778092617602396160","尺码",,
